patch,quality,area_ha,area_sqkm,quality_area,betweenness,dECA
150,0.854270875453949,1,0.01,0.00854270875453949,NA,NA
151,0.7483440041542053,1,0.01,0.007483440041542054,NA,NA
152,0.7667127847671509,5,0.05,0.03833563923835755,NA,NA
153,0.7795262336730957,1,0.01,0.007795262336730957,9,1.835377791596348e-4
154,0.8357754278750646,42,0.42,0.3510256797075271,NA,NA
155,0.831126739581426,6,0.06,0.049867604374885556,NA,NA
156,0.8518092036247253,10,0.1,0.08518092036247255,186,0.016468652247313167
157,0.8283106684684753,1,0.01,0.008283106684684753,0,1.13699999239744e-5
158,0.8418946709388342,39,0.39,0.32833892166614537,12,0.02169863598953334
159,0.799569242878964,19,0.19,0.15191815614700316,NA,NA
160,0.7482199668884277,1,0.01,0.007482199668884277,NA,NA
161,0.8213599597414335,24,0.24,0.19712639033794402,0,0.0070219888473723605
162,0.8041641116142273,1,0.01,0.008041641116142273,0,1.7639611581705606e-4
163,0.8435418754816055,4,0.04,0.03374167501926422,0,1.13699999239744e-5
164,0.7710126340389252,6,0.06,0.04626075804233551,NA,NA
165,0.8280509114265442,11,0.11,0.09108560025691986,0,0.002228901828020946
166,0.7867811918258667,1,0.01,0.007867811918258668,36,5.962947909442093e-4
167,0.8295023355139307,166,1.6600000000000001,1.376973876953125,54,0.03142493752699961
168,0.7921897694468498,8,0.08,0.06337518155574799,NA,NA
169,0.8419901946919006,456,4.5600000000000005,3.839475287795067,546,0.4640613905650367
170,0.7827243804931641,2,0.02,0.015654487609863283,NA,NA
171,0.7858623564243317,2,0.02,0.015717247128486635,0,4.137489265985467e-4
172,0.8157920956611633,5,0.05,0.04078960478305817,NA,NA
173,0.7874943017959595,2,0.02,0.01574988603591919,0,7.405377996720634e-5
174,0.8322137909777024,17,0.17,0.14147634446620944,11,0.0034323748564214973
175,0.7902446389198303,4,0.04,0.03160978555679321,8,0.002387809171832511
176,0.8247338285048803,12,0.12,0.09896805942058563,NA,NA
177,0.8255200002874646,14,0.14,0.11557280004024506,0,7.405377996720634e-5
178,0.80522918701171875,1,0.01,0.008052291870117188,0,7.4755869436271786e-6
179,0.7967402338981628,1,0.01,0.00796740233898163,2,5.788680894980171e-4
180,0.822478860616684,2,0.02,0.01644957721233368,0,0.003020314989410027
181,0.7979351769794117,22,0.22,0.1755457389354706,0,0.003955287586550455
182,0.7606849273045858,3,0.03,0.022820547819137574,12,0.0014506587897006738
183,0.8082022219896317,4,0.04,0.032328088879585264,NA,NA
184,0.8394751836271847,85,0.85,0.713553906083107,NA,NA
185,0.8264966932210055,11,0.11,0.09091463625431061,NA,NA
186,0.7541090250015259,1,0.01,0.007541090250015259,NA,NA
187,0.8251587748527527,3,0.03,0.02475476324558258,4,0.0017025313516806954
188,0.778848926226298,12,0.12,0.09346187114715575,0,2.804664961157937e-5
