patch,quality,area_ha,area_sqkm,quality_area,betweenness,dECA
81,0.7920628719859653,9,0.09,0.07128565847873687,NA,NA
82,0.799192446119645,34,0.34,0.2717254316806793,0,0.0011457394746921033
83,0.8125161528587341,2,0.02,0.016250323057174682,NA,NA
84,0.7645087838172913,1,0.01,0.007645087838172913,NA,NA
85,0.8033324033021927,4,0.04,0.03213329613208771,NA,NA
86,0.7955360540321895,56,0.56,0.4455001902580262,0,0.00382325387555478
87,0.7941445112228394,1,0.01,0.007941445112228393,NA,NA
88,0.7956852316856384,8,0.08,0.06365481853485108,0,3.5548116799521105e-4
89,0.8093347648779551,6,0.06,0.0485600858926773,NA,NA
90,0.802137804031372,5,0.05,0.0401068902015686,NA,NA
91,0.7773553431034088,2,0.02,0.015547106862068177,NA,NA
92,0.8416958823800087,24,0.24,0.2020070117712021,0,0.008950377864329038
93,0.7603023648262024,1,0.01,0.007603023648262024,NA,NA
94,0.7554540038108826,1,0.01,0.007554540038108826,NA,NA
95,0.7515157461166382,1,0.01,0.007515157461166382,NA,NA
96,0.7567060589790344,1,0.01,0.007567060589790345,NA,NA
97,0.7962777018547058,1,0.01,0.007962777018547059,NA,NA
98,0.8360395550727844,5,0.05,0.041801977753639225,NA,NA
99,0.7454055547714233,1,0.01,0.007454055547714234,NA,NA
100,0.7953088879585266,4,0.04,0.031812355518341065,NA,NA
101,0.810054691398845,17,0.17,0.13770929753780367,33,0.0018192062950644265
102,0.7454825043678284,1,0.01,0.007454825043678284,NA,NA
103,0.8394682446464163,61,0.61,0.5120756292343139,NA,NA
104,0.8030036389827728,2,0.02,0.016060072779655456,NA,NA
105,0.7815356552600861,2,0.02,0.01563071310520172,NA,NA
106,0.7884093523025513,5,0.05,0.03942046761512757,NA,NA
107,0.7660868763923645,1,0.01,0.007660868763923645,NA,NA
108,0.7816765109697977,3,0.03,0.023450295329093932,NA,NA
109,0.8029494643211365,5,0.05,0.04014747321605683,NA,NA
110,0.7703799804051717,3,0.03,0.02311139941215515,NA,NA
111,0.754721075296402,2,0.02,0.01509442150592804,NA,NA
112,0.7931561840547098,37,0.37,0.2934677881002426,56,0.006238792533902665
113,0.8003287613391876,2,0.02,0.016006575226783754,NA,NA
114,0.79686621824900306,3,0.03,0.02390598654747009,0,3.479970046908667e-4
115,0.7808351516723633,3,0.03,0.0234250545501709,NA,NA
116,0.8553060538628522,459,4.59,3.9258547872304916,60,0.38341869110824645
117,0.8361369490623474,5,0.05,0.04180684745311737,NA,NA
118,0.8145421828542437,7,0.07,0.057017952799797066,61,0.0027978345305628123
119,0.7676693201065063,2,0.02,0.015353386402130128,NA,NA
120,0.7965950965881348,2,0.02,0.015931901931762697,NA,NA
121,0.7609125971794128,1,0.01,0.007609125971794128,NA,NA
122,0.7982568144798279,2,0.02,0.015965136289596556,NA,NA
123,0.7792587876319885,1,0.01,0.007792587876319886,NA,NA
124,0.7627465128898621,1,0.01,0.007627465128898621,NA,NA
125,0.8123735785484314,4,0.04,0.03249494314193726,0,0.003406478379434262
126,0.8357787327606137,595,5.95,4.972883459925652,90,0.057792615959773155
127,0.8348467227290658,34,0.34,0.2838478857278824,NA,NA
128,0.8078840176264445,3,0.03,0.024236520528793333,NA,NA
129,0.827022597193718,4,0.04,0.03308090388774872,NA,NA
130,0.7967691123485565,6,0.06,0.04780614674091339,NA,NA
131,0.8535219033559164,33,0.33,0.2816622281074524,NA,NA
132,0.7840905984242758,3,0.03,0.023522717952728273,NA,NA
133,0.7521190841992696,3,0.03,0.022563572525978088,NA,NA
134,0.7590626776218414,2,0.02,0.01518125355243683,NA,NA
135,0.7462756633758545,1,0.01,0.007462756633758545,NA,NA
136,0.7654778957366943,3,0.03,0.02296433687210083,NA,NA
137,0.813287924636494,11,0.11,0.08946167171001435,NA,NA
138,0.7782658100128174,5,0.05,0.03891329050064087,0,0.003774466824082338
139,0.8137910664081573,2,0.02,0.01627582132816315,0,0.00331970614768136
140,0.8474012086453956,267,2.67,2.2625612270832063,72,0.41333772501123506
141,0.7646555006504059,2,0.02,0.015293110013008118,NA,NA
142,0.7827648520469666,1,0.01,0.007827648520469665,NA,NA
143,0.7952393392721812,6,0.06,0.047714360356330865,0,0.002821129078935363
144,0.7534382522106171,10,0.1,0.07534382522106171,NA,NA
145,0.8182902998394437,18,0.18,0.14729225397109985,0,0.004152179726274532
146,0.7466244101524353,2,0.02,0.014932488203048707,NA,NA
147,0.7750133872032166,2,0.02,0.01550026774406433,NA,NA
148,0.7447101473808289,1,0.01,0.007447101473808289,NA,NA
149,0.7884264162608555,7,0.07,0.05518984913825989,0,0.005798972360029928
150,0.780074343085289,4,0.04,0.03120297372341156,NA,NA
151,0.7658921082814535,6,0.06,0.045953526496887206,0,0.008110035632627475
152,0.752533495426178,1,0.01,0.00752533495426178,NA,NA
153,0.8073670296441942,21,0.21,0.16954707622528076,70,0.01590866403978338
154,0.7861743101051876,14,0.14,0.11006440341472627,NA,NA
155,0.8042178750038147,5,0.05,0.04021089375019074,NA,NA
156,0.7781011462211609,3,0.03,0.023343034386634827,NA,NA
