patch,quality,area_ha,area_sqkm,quality_area,betweenness,dECA
162,0.8206445653648937,68,0.68,0.5580383044481277,NA,NA
163,0.7363847494125366,1,0.01,0.007363847494125366,0,6.384745014773261e-4
164,0.7778301579611642,7,0.07,0.0544481110572815,NA,NA
165,0.7606181899706522,3,0.03,0.022818545699119567,NA,NA
166,0.7664945125579834,5,0.05,0.038324725627899174,NA,NA
167,0.775089293718338,2,0.02,0.01550178587436676,NA,NA
168,0.7767923218863351,7,0.07,0.05437546253204346,NA,NA
169,0.8309873551935762,37,0.37,0.3074653214216232,NA,NA
170,0.7660300433635712,2,0.02,0.015320600867271423,NA,NA
171,0.7855804012371943,13,0.13,0.10212545216083527,0,0.009209193331590572
172,0.7449242174625397,2,0.02,0.014898484349250793,NA,NA
173,0.7483749730246407,7,0.07,0.052386248111724855,NA,NA
174,0.8291582465171814,12,0.12,0.09949898958206177,NA,NA
175,0.7355290651321411,1,0.01,0.007355290651321411,NA,NA
176,0.7373461127281189,1,0.01,0.0073734611272811895,30,8.868521476524382e-4
177,0.7474760115146637,2,0.02,0.014949520230293275,NA,NA
178,0.8026976436376572,4,0.04,0.03210790574550629,30,0.0043484181982128755
179,0.7432262301445007,1,0.01,0.007432262301445007,0,7.290498639072124e-4
180,0.7622878551483154,1,0.01,0.007622878551483155,NA,NA
181,0.7757604122161865,1,0.01,0.007757604122161865,NA,NA
182,0.7706442475318909,1,0.01,0.007706442475318909,0,4.423938286721603e-4
183,0.8407231385005269,207,2.07,1.7402968966960906,161,0.17426594539888804
184,0.7591260820627213,4,0.04,0.03036504328250885,NA,NA
185,0.7823808491230011,2,0.02,0.015647616982460023,NA,NA
186,0.7600360214710236,4,0.04,0.030401440858840945,0,0.004110400576633448
187,0.7574687233337989,13,0.13,0.09847093403339385,NA,NA
188,0.8056999444961548,1,0.01,0.008056999444961547,NA,NA
189,0.7690709352493286,5,0.05,0.03845354676246643,0,0.006437162224167101
190,0.7742032913061289,13,0.13,0.10064642786979676,NA,NA
191,0.8140829205513,1,0.01,0.008140829205513001,NA,NA
192,0.7498298287391663,2,0.02,0.014996596574783326,NA,NA
193,0.7329023480415344,1,0.01,0.007329023480415344,NA,NA
194,0.7799654603004456,1,0.01,0.007799654603004456,NA,NA
