scientific_name,common_name
Agelaius_phoeniceus,Red-winged Blackbird
Bombus_spp,Bumblebees
Colias_eurytheme,Orange Sulphur
Colias_philodice,Clouded Sulphur
Setophaga_petechia,Yellow Warbler
Sturnella_neglecta,Western Meadowlark
Tyrannus_verticalis,Western Kingbird
Vanessa_cardui,Painted Lady
